time,strokeIdx,pointIdx,posX,posY,posZ,rotX,rotY,rotZ,rotW,width,colR,colG,colB,colA
60.61796,11,18,-0.2593332,0.9045473,-0.1114641,-0.255277,-0.8576509,-0.2966096,0.3336039,0.05693997,0,0.3532341,1,1
60.63019,11,19,-0.2589153,0.9179834,-0.1101215,-0.2600173,-0.8541785,-0.3035887,0.332572,0.05693997,0,0.3532341,1,1
60.64103,11,20,-0.2584093,0.9306058,-0.1096981,-0.2653525,-0.8506471,-0.3094577,0.3319992,0.05693997,0,0.3532341,1,1
60.65211,11,21,-0.2570402,0.9422349,-0.1094433,-0.2714893,-0.846747,-0.3162093,0.3306428,0.05693997,0,0.3532341,1,1
60.66461,11,22,-0.2563245,0.953963,-0.1088321,-0.2766553,-0.8425168,-0.3237039,0.3299139,0.05693997,0,0.3532341,1,1
60.67585,11,23,-0.2542987,0.9640909,-0.108916,-0.2801881,-0.8394305,-0.3306832,0.3278717,0.05693997,0,0.3532341,1,1
60.68617,11,24,-0.2518844,0.9729664,-0.1098235,-0.2833093,-0.8380109,-0.3352696,0.3241418,0.05693997,0,0.3532341,1,1
60.69806,11,25,-0.2491856,0.9805977,-0.1114732,-0.2874106,-0.8378009,-0.3377653,0.3184329,0.05693997,0,0.3532341,1,1
60.70995,11,26,-0.2463244,0.9865468,-0.1132603,-0.2933326,-0.8372123,-0.339223,0.3129848,0.05693997,0,0.3532341,1,1
60.71988,11,27,-0.2433585,0.9928962,-0.1152669,-0.3001189,-0.8357573,-0.3408835,0.3086048,0.05693997,0,0.3532341,1,1
60.73106,11,28,-0.2391348,0.9957095,-0.1185604,-0.3093772,-0.834498,-0.3403494,0.3034157,0.05693997,0,0.3532341,1,1
60.74254,11,29,-0.2353074,0.9996211,-0.1213836,-0.3169712,-0.8333491,-0.3412164,0.2977079,0.05693997,0,0.3532341,1,1
60.7532,11,30,-0.2306511,1.000955,-0.1247195,-0.3243002,-0.8335643,-0.3408334,0.2895385,0.05693997,0,0.3532341,1,1
60.76569,11,31,-0.2263809,1.002212,-0.1278735,-0.330532,-0.8340842,-0.3407296,0.2809908,0.05693997,0,0.3532341,1,1
60.77565,11,32,-0.2210144,0.9990118,-0.1318616,-0.3352875,-0.8376289,-0.3374514,0.2684897,0.05693997,0,0.3532341,1,1
60.78714,11,33,-0.2163816,0.9954891,-0.1361698,-0.3419773,-0.8405167,-0.3308788,0.2590413,0.05693997,0,0.3532341,1,1
60.79776,11,34,-0.2121046,0.9916754,-0.140309,-0.3501278,-0.8424143,-0.3237113,0.2509176,0.05693997,0,0.3532341,1,1
60.80909,11,35,-0.2075358,0.9847615,-0.1449334,-0.3605325,-0.8447492,-0.3132445,0.2414398,0.05693997,0,0.3532341,1,1
60.82076,11,36,-0.2030542,0.9765934,-0.1491435,-0.3722489,-0.8458955,-0.3034391,0.2319834,0.05693997,0,0.3532341,1,1
60.83145,11,37,-0.1989571,0.9690819,-0.1528591,-0.3831074,-0.8461605,-0.295432,0.2235198,0.05693997,0,0.3532341,1,1
60.84272,11,38,-0.1954229,0.9593095,-0.155672,-0.3926458,-0.8463262,-0.2882516,0.2155746,0.05693997,0,0.3532341,1,1
60.85362,11,39,-0.1928042,0.9491422,-0.1579475,-0.3965485,-0.8487087,-0.2808979,0.2086607,0.05693997,0,0.3532341,1,1
60.86474,11,40,-0.1911964,0.9383299,-0.1597811,-0.3950858,-0.8537979,-0.2720314,0.2023251,0.05693997,0,0.3532341,1,1
60.8778,11,41,-0.1897444,0.9280354,-0.1611565,-0.3938284,-0.8586285,-0.2631949,0.1959206,0.05693997,0,0.3532341,1,1
60.887,11,42,-0.1896605,0.9160328,-0.1612318,-0.3888208,-0.8644158,-0.2552461,0.1909274,0.05693997,0,0.3532341,1,1
60.89853,11,43,-0.1886914,0.9038829,-0.1611265,-0.3880623,-0.8673948,-0.2494009,0.1866367,0.05693997,0,0.3532341,1,1
60.91074,11,44,-0.187547,0.8921587,-0.1609853,-0.387216,-0.8704168,-0.2435537,0.1819893,0.05693997,0,0.3532341,1,1
60.92072,11,45,-0.1871696,0.880034,-0.1599852,-0.3842346,-0.8737921,-0.2383835,0.1789544,0.05693997,0,0.3532341,1,1
60.93323,11,46,-0.1862348,0.8676003,-0.159613,-0.3806792,-0.8778523,-0.2320953,0.1749014,0.05693997,0,0.3532341,1,1
60.94579,11,47,-0.1856024,0.854061,-0.1584655,-0.3770639,-0.8820363,-0.225005,0.1709022,0.05693997,0,0.3532341,1,1
60.95408,11,48,-0.1849296,0.8405636,-0.1573048,-0.3765425,-0.8848039,-0.2175691,0.1673366,0.05693997,0,0.3532341,1,1
60.9652,11,49,-0.1838172,0.8264878,-0.1559802,-0.3755841,-0.8878081,-0.2103847,0.162701,0.05693997,0,0.3532341,1,1
60.97739,11,50,-0.1829211,0.8126172,-0.1543379,-0.3744143,-0.8912954,-0.2019985,0.1568538,0.05693997,0,0.3532341,1,1
60.98732,11,51,-0.1820096,0.7985489,-0.1529223,-0.3747615,-0.8941451,-0.192681,0.1514349,0.05693997,0,0.3532341,1,1
60.99847,11,52,-0.1819064,0.7850543,-0.1513307,-0.3748196,-0.8963361,-0.1843819,0.1486445,0.05693997,0,0.3532341,1,1
61.00983,11,53,-0.1828919,0.7727949,-0.1487115,-0.3687876,-0.8996475,-0.1784153,0.1509901,0.05693997,0,0.3532341,1,1
61.02079,11,54,-0.1834847,0.7605819,-0.1465529,-0.3605909,-0.9039909,-0.1721938,0.1520662,0.05693997,0,0.3532341,1,1
61.03189,11,55,-0.1846758,0.7492599,-0.1436783,-0.3490919,-0.9095192,-0.1656213,0.1532297,0.05693997,0,0.3532341,1,1
61.04321,11,56,-0.1855717,0.7377797,-0.1404963,-0.3435705,-0.9130334,-0.1588284,0.1519965,0.05693997,0,0.3532341,1,1
61.05518,11,57,-0.1866762,0.7261918,-0.1377625,-0.3430946,-0.9149036,-0.1504328,0.1503579,0.05693997,0,0.3532341,1,1
61.06557,11,58,-0.1881416,0.715766,-0.1349643,-0.353849,-0.9134219,-0.1372476,0.1470189,0.05693997,0,0.3532341,1,1
61.07767,11,59,-0.1901826,0.7057276,-0.1322347,-0.3616935,-0.9123533,-0.125416,0.1451209,0.05693997,0,0.3532341,1,1
61.08808,11,60,-0.1938907,0.6981471,-0.1298069,-0.3749311,-0.9085309,-0.1128611,0.1458108,0.05693997,0,0.3532341,1,1
61.09944,11,61,-0.2000109,0.6940212,-0.1266874,-0.3825219,-0.9052709,-0.1039609,0.1528195,0.05693997,0,0.3532341,1,1
61.11049,11,62,-0.2086051,0.694032,-0.1229363,-0.3769345,-0.9053134,-0.1002399,0.1681672,0.05693997,0,0.3532341,1,1
61.12126,11,63,-0.2171978,0.6941705,-0.1193472,-0.3683021,-0.9055218,-0.0985304,0.186214,0.05693997,0,0.3532341,1,1
61.13387,11,64,-0.2284642,0.7001838,-0.1141495,-0.3513228,-0.9048608,-0.106059,0.2157562,0.05693997,0,0.3532341,1,1
61.14384,11,65,-0.2381815,0.7050557,-0.1085589,-0.3406131,-0.9013776,-0.1138048,0.2419706,0.05693997,0,0.3532341,1,1
64.76173,12,1,-0.3219242,0.8295353,-0.003716588,-0.2219913,-0.8238178,-0.2932986,0.4313004,0.05693997,0.7867733,0.7470932,0.9867733,1
64.77477,12,2,-0.3212646,0.8305558,-0.005652368,-0.2253931,-0.8259737,-0.2929522,0.4256108,0.05693997,0.7867733,0.7470932,0.9867733,1
64.78436,12,3,-0.3209516,0.8312737,-0.008164346,-0.2296083,-0.8280451,-0.2918095,0.4200815,0.05693997,0.7867733,0.7470932,0.9867733,1
64.79848,12,4,-0.3212021,0.8320616,-0.01072127,-0.2327847,-0.829992,-0.2911984,0.4148834,0.05693997,0.7867733,0.7470932,0.9867733,1
64.80812,12,5,-0.3199963,0.8326466,-0.01441473,-0.2358925,-0.8331128,-0.2891118,0.4082797,0.05693997,0.7867733,0.7470932,0.9867733,1
64.81848,12,6,-0.3189543,0.8327523,-0.01779532,-0.2393209,-0.835471,-0.2874606,0.402592,0.05693997,0.7867733,0.7470932,0.9867733,1
64.82864,12,7,-0.3174424,0.8328434,-0.02194297,-0.2433246,-0.8386481,-0.2856025,0.394834,0.05693997,0.7867733,0.7470932,0.9867733,1
64.84138,12,8,-0.3150206,0.8327815,-0.02636451,-0.2479808,-0.8422472,-0.2840778,0.3852598,0.05693997,0.7867733,0.7470932,0.9867733,1
